id,name,description,category,image,price,sizes,prices,ingredients,isBestseller
sambar-onion-peeled,Sambar Onion Peeled,"Fresh sambar onions peeled and ready to use. RO water washed, hygienically processed.",Cut Vegetables,https://images.unsplash.com/photo-1580201006857-412f38c33ecf?auto=format&fit=crop&w=500&q=80,40,"200 g, 500 g, 1 kg","40, 90, 175",Sambar onion,TRUE
peeled-garlic,Peeled Garlic,"Hand-peeled fresh garlic cloves. Saves prep time, retains full flavour.",Cut Vegetables,https://images.unsplash.com/photo-1540148426945-6cf22a6b2383?auto=format&fit=crop&w=500&q=80,30,"100 g, 200 g, 500 g","30, 55, 130",Garlic,FALSE
carrot-cut,Carrot Cut,"Crisp carrots precision-cut and washed in RO purified water. Ready to cook.",Cut Vegetables,https://images.unsplash.com/photo-1598170845058-32b9d6a5da37?auto=format&fit=crop&w=500&q=80,40,"250 g, 500 g, 1 kg","40, 75, 140",Carrot,TRUE
beans-cut,Beans Cut,"Fresh green beans trimmed and cut to perfect poriyal size.",Cut Vegetables,https://images.unsplash.com/photo-1567375698348-5d9d5ae99de0?auto=format&fit=crop&w=500&q=80,40,"250 g, 500 g, 1 kg","40, 75, 140",Green beans,FALSE
sambar-mix,Sambar Mix,"Pre-cut sambar vegetables - drumstick, brinjal, tomato, onion - mixed and washed.",Combo offers,https://images.unsplash.com/photo-1518843025960-d60217f226f5?auto=format&fit=crop&w=500&q=80,45,"200 g, 500 g, 1 kg","45, 100, 190","Drumstick, Brinjal, Tomato, Onion",TRUE
cauliflower-florets,Cauliflower Florets,"Fresh cauliflower broken into bite-sized florets, RO water washed.",Cut Vegetables,https://images.unsplash.com/photo-1568584711271-6c929fb49b60?auto=format&fit=crop&w=500&q=80,40,"200 g, 500 g, 1 kg","40, 90, 170",Cauliflower,FALSE
broccoli-sprouts-mix,Broccoli & Sprouts Health Mix,"High-nutrient health mix combining fresh broccoli florets and mixed organic sprouts.",Health Packs,https://images.unsplash.com/photo-1584006682522-dc17d6c0d9bc?auto=format&fit=crop&w=500&q=80,60,"200 g, 400 g","60, 110","Broccoli, Mixed sprouts",TRUE
drumstick-cut,Drumstick Cut,"Fresh drumstick pieces cut to standard sambar length. Pre-washed.",Cut Vegetables,https://images.unsplash.com/photo-1592417817098-8f3d6eb19675?auto=format&fit=crop&w=500&q=80,35,"200 g, 500 g","35, 80",Drumstick,FALSE
lady-finger-diced,Lady Finger Diced,"Crisp okra sliced into thin discs, perfect for bhindi fry or sambar.",Cut Vegetables,https://images.unsplash.com/photo-1628155930542-3c7a64e2c833?auto=format&fit=crop&w=500&q=80,35,"250 g, 500 g","35, 70",Lady finger (okra),FALSE
peeled-ginger,Peeled Ginger,"Hand-scraped fresh ginger root. Ready for pastes or tea blends.",Cut Vegetables,https://images.unsplash.com/photo-1615485290382-441e4d049cb5?auto=format&fit=crop&w=500&q=80,45,"100 g, 250 g","45, 100",Ginger,FALSE
pumpkin-diced,Pumpkin Diced,"Golden yellow pumpkin cubes, pre-skinned and clean. Great for kootu.",Cut Vegetables,https://images.unsplash.com/photo-1506815444479-e289e4c88f72?auto=format&fit=crop&w=500&q=80,30,"300 g, 1 kg","30, 80",Pumpkin,FALSE
elephant-yam-cut,Elephant Yam Cut,"Elephant foot yam cut into dice. Saved from sticky peeling chores.",Cut Vegetables,https://images.unsplash.com/photo-1608686207856-001b95cf60ca?auto=format&fit=crop&w=500&q=80,45,"250 g, 500 g","45, 85",Yam (Senai),FALSE
potato-diced,Potato Diced,"Skinless peeled potato cubes washed in pure water. Ready to roast.",Cut Vegetables,https://images.unsplash.com/photo-1518977676601-b53f82aba655?auto=format&fit=crop&w=500&q=80,30,"300 g, 600 g, 1 kg","30, 55, 90",Potato,TRUE
coconut-grated,Coconut Grated,"Freshly grated organic coconut kernel. Perfect for chutneys and poriyal.",Cut Vegetables,https://images.unsplash.com/photo-1601004890684-d8cbf643f5f2?auto=format&fit=crop&w=500&q=80,45,"150 g, 300 g","45, 85",Coconut,TRUE
chilli-curry-pack,Chilli & Curry Leaves Pack,"Essential seasoning pack: spicy green chillies and fragrant curry leaves.",Health Packs,https://images.unsplash.com/photo-1588252303782-cb80119abd6d?auto=format&fit=crop&w=500&q=80,20,"100 g, 250 g","20, 45","Green Chilli, Curry Leaves",FALSE
mushroom-cut,Mushroom Cut Pack,"Fresh white button mushrooms sliced and packed in a protective atmosphere.",Cut Vegetables,https://images.unsplash.com/photo-1534422298391-e4f8c172dddb?auto=format&fit=crop&w=500&q=80,50,200 g,50,Button Mushroom,FALSE
soup-mix-veggies,Soup Mix Veggies,"Finely chopped mixed soup vegetables: cabbage, carrot, beans, and spring onion.",Combo offers,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=500&q=80,55,"300 g, 600 g","55, 100","Cabbage, Carrot, Beans, Spring Onion",TRUE
avial-mix,Avial Mix Vegetables,"Traditional thick finger cuts of yam, carrot, beans, raw banana, and pumpkin.",Combo offers,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?auto=format&fit=crop&w=500&q=80,60,"400 g, 1 kg","60, 140","Yam, Carrot, Beans, Raw Banana, Pumpkin",FALSE
detox-pack,Lemon & Ginger Detox Pack,"Immune-boosting pack containing juicy lemons, fresh ginger, and mint leaves.",Health Packs,https://images.unsplash.com/photo-1610970881699-44a5587caaec?auto=format&fit=crop&w=500&q=80,45,250 g,45,"Lemon, Ginger, Mint",FALSE
salad-mix,Salad Fresh Veggie Mix,"Ready-to-eat salad: crisp cucumber, carrot spirals, beetroot julienne, and cherry tomatoes.",Health Packs,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?auto=format&fit=crop&w=500&q=80,60,"250 g, 500 g","60, 110","Cucumber, Carrot, Beetroot, Cherry Tomato",TRUE
